Prov;Tahun;IPM;KMSK;PENGRN;PE;JLMSK;JLPGGRN;PAD;TOTPEN;BLEKON;BLKES;BLPEDD;RSMAND
Gorontalo;2015;65,9;18,2;4,7;6,2;206,5;24101,0;289,6;1389,3;2135,3;997,1;2885,9;0,2
Gorontalo;2016;66,3;17,6;2,8;6,5;203,7;15528,0;311,2;1584,3;2662,5;1670,9;1171,1;0,2
Gorontalo;2017;67,0;17,1;4,3;6,7;200,9;23450,0;348,3;1773,1;1997,7;1371,3;6003,0;0,2
Gorontalo;2018;67,7;15,8;3,7;6,5;188,3;21892,0;384,4;1800,2;2110,6;1316,1;6016,4;0,2
Gorontalo;2019;68,5;15,3;3,8;6,4;184,7;22382,0;433,4;1941,1;2288,6;1540,6;6438,9;0,2
Gorontalo;2020;68,7;15,6;4,3;0,0;185,3;25410,0;414,9;1862,7;1668,3;1701,5;6937,7;0,2
Gorontalo;2021;69,0;15,4;3,0;2,4;184,6;17959,0;510,8;1973,0;2713,7;2144,5;6650,5;0,3
Gorontalo;2022;69,8;15,5;2,6;2,3;187,4;16284,0;510,3;1848,6;4097,0;1941,0;5145,2;0,3
Gorontalo;2023;70,5;15,2;3,1;5,3;183,7;19904,0;514,2;1866,2;3072,1;2177,4;7841,2;0,3
Sulawesi Barat;2013;61,5;12,2;2,4;6,9;154,2;13136,0;154,1;1073,9;1587,2;938,4;1803,6;0,1
Sulawesi Barat;2014;62,2;12,1;2,1;8,9;154,7;12649,0;222,6;1240,2;1866,1;1103,3;2120,5;0,2
Sulawesi Barat;2015;63,0;11,9;3,4;7,3;153,2;20644,0;273,5;1473,8;2167,5;1357,4;2614,5;0,2
Sulawesi Barat;2016;63,6;11,2;3,3;6,0;146,9;21489,0;277,7;1688,6;2136,1;1742,6;1351,6;0,2
Sulawesi Barat;2017;64,3;11,2;3,2;6,4;149,5;19744,0;296,9;1832,0;2014,3;2245,1;4005,8;0,2
Sulawesi Barat;2018;65,1;11,2;3,0;6,3;152,8;19860,0;301,5;1819,1;2044,7;1749,6;3455,5;0,2
Sulawesi Barat;2019;65,7;10,9;3,0;5,6;151,9;20286,0;345,2;2034,8;2216,3;1562,1;4412,0;0,2
Sulawesi Barat;2020;66,1;11,5;3,3;-2,3;159,1;23132,0;346,9;2005,5;1493,1;1874,8;7832,2;0,2
Sulawesi Barat;2021;66,4;11,9;3,1;2,6;166,0;22208,0;408,0;2024,7;3923,7;1491,6;5254,5;0,2
Sulawesi Barat;2022;66,9;11,9;2,3;2,3;169,3;17545,0;457,4;1894,6;5046,7;1347,7;6034,4;0,2
Sulawesi Barat;2023;67,6;11,5;2,3;5,3;164,1;17273,0;461,3;2016,6;3864,2;1806,3;7046,3;0,2
Maluku;2013;66,1;19,3;9,9;5,2;322,5;66292,0;304,4;1545,5;2254,0;1487,8;3412,9;0,2
Maluku;2014;66,7;18,4;10,5;6,6;307,0;70653,0;425,4;1823,0;2513,5;1617,3;854,6;0,2
Maluku;2015;67,1;19,4;9,9;5,5;327,8;72196,0;390,8;2132,6;2917,2;2143,2;5073,4;0,2
Maluku;2016;67,6;19,3;7,1;5,7;331,8;52363,0;466,2;2547,6;3427,3;2556,7;1797,0;0,2
Maluku;2017;68,2;18,3;9,3;5,8;320,4;65735,0;430,9;2817,1;2993,1;2692,3;12285,5;0,2
Maluku;2018;68,9;17,9;7,0;5,9;317,8;55595,0;465,8;3074,6;3110,9;2543,4;13989,8;0,2
Maluku;2019;69,5;17,7;6,7;5,4;319,5;54400,0;482,8;3108,9;3005,6;2628,0;8387,8;0,2
Maluku;2020;69,5;18,0;7,6;-0,9;322,4;63489,0;545,8;3045,8;2283,1;2623,1;9615,7;0,2
Maluku;2021;69,7;16,3;6,9;3,6;295,0;59589,0;545,8;3045,8;7053,6;2464,0;11725,8;0,2
Maluku;2022;70,2;16,2;6,9;5,3;296,7;59737,0;638,0;2915,5;5934,5;2649,2;10678,0;0,2
Maluku;2023;70,9;16,4;6,3;5,2;301,6;57504,0;664,7;3068,6;5568,8;2968,7;13971,1;0,2
Maluku Utara;2013;64,8;7,6;3,8;6,4;85,8;17987,0;165,9;1315,9;2168,0;1184,9;2556,0;0,1
Maluku Utara;2014;65,2;7,4;5,3;5,5;84,8;25487,0;203,1;1508,6;2314,9;1265,2;2729,1;0,1
Maluku Utara;2015;65,9;6,2;6,1;6,1;72,7;31058,0;236,1;1801,3;2615,3;1556,2;3531,7;0,1
Maluku Utara;2016;66,6;6,4;4,0;5,8;76,4;21047,0;280,2;2022,3;4114,7;830,0;2095,6;0,1
Maluku Utara;2017;67,2;6,4;5,3;7,7;78,3;27516,0;327,5;2275,6;2836,1;1787,9;7067,1;0,1
Maluku Utara;2018;67,8;6,6;4,6;7,9;81,9;26565,0;358,3;2489,1;2445,3;2026,4;7611,9;0,1
Maluku Utara;2019;68,7;6,9;4,8;6,3;87,2;27874,0;433,5;2688,2;2938,7;2607,4;8884,4;0,2
Maluku Utara;2020;68,5;7,0;5,2;5,4;87,5;29997,0;447,3;2581,2;2090,7;2696,7;9042,8;0,2
Maluku Utara;2021;68,8;6,4;4,7;16,8;81,2;28133,0;552,4;2877,0;7404,1;3476,0;6363,1;0,2
Maluku Utara;2022;69,5;6,4;4,0;22,9;82,1;24273,0;779,2;3088,7;8073,8;2819,9;6488,2;0,3
Maluku Utara;2023;70,2;6,5;4,3;20,5;83,8;28600,0;461,3;2336,5;6441,3;3407,2;9280,1;0,2
Papua Barat;2013;60,9;27,1;4,4;7,4;234,2;16554,0;236,3;5637,7;4580,7;1133,7;3397,9;0,0
Papua Barat;2014;61,3;26,3;5,0;5,4;225,5;19988,0;306,7;5762,4;5565,8;1120,8;2102,0;0,1
Papua Barat;2015;61,7;25,7;8,1;4,2;225,5;33409,0;322,8;5840,4;6101,5;1566,1;5016,7;0,1
Papua Barat;2016;62,2;24,9;7,5;4,5;223,6;32457,0;338,8;6740,4;1961,1;1055,8;483,8;0,1
Papua Barat;2017;63,0;23,1;6,5;4,0;212,9;27952,0;470,1;7800,9;6032,0;1154,5;7631,7;0,1
Papua Barat;2018;63,7;22,7;6,5;6,3;213,7;28972,0;459,2;7309,8;5923,4;1270,1;9300,4;0,1
Papua Barat;2019;64,7;21,5;6,4;2,7;207,6;29991,0;483,7;11339,8;7139,4;2462,9;10057,6;0,0
Papua Barat;2020;65,1;21,7;6,8;-0,8;215,2;33501,0;485,4;8519,4;4802,4;1140,4;10177,8;0,1
Papua Barat;2021;65,3;21,8;5,8;-0,5;221,3;29985,0;484,0;7327,0;26633,1;2512,7;7726,0;0,1
Papua Barat;2022;65,9;21,4;5,4;2,0;222,4;27665,0;620,3;7764,4;22623,5;2202,0;7279,3;0,1
Papua Barat;2023;66,7;20,5;5,4;5,2;215,0;31919,0;333,9;3078,0;19762,5;2280,8;10667,2;0,1
Papua;2013;56,3;31,5;3,2;8,6;1058,0;50809,0;633,7;8397,2;6710,0;6557,5;10466,5;0,1
Papua;2014;56,8;27,8;3,4;3,7;864,1;57676,0;944,9;10709,8;8461,1;8268,8;13197,9;0,1
Papua;2015;57,3;28,4;4,0;7,4;898,2;69465,0;912,9;11805,8;8419,9;9530,3;15702,7;0,1
Papua;2016;58,1;28,4;3,4;9,1;914,9;57677,0;1019,7;12567,8;8004,9;7814,6;6130,3;0,1
Papua;2017;59,1;27,8;3,6;4,6;910,4;63770,0;1020,4;13006,8;6830,2;7034,6;24767,8;0,1
Papua;2018;60,1;27,4;3,0;7,3;915,2;55734,0;1050,4;13490,0;5986,0;8180,6;26203,1;0,1
Papua;2019;60,8;26,6;3,5;-15,7;901,0;65143,0;2027,6;15239,9;7068,1;10518,7;33619,4;0,1
Papua;2020;60,4;26,8;4,3;2,4;912,2;75658,0;1388,5;13030,9;5167,4;9672,8;32030,2;0,1
Papua;2021;60,6;27,4;3,3;15,2;944,5;64996,0;2139,7;13885,9;17834,0;10055,3;14676,4;0,2
Papua;2022;61,4;26,8;2,8;9,0;936,3;56330,0;2226,8;11040,1;31447,6;5954,7;14232,5;0,2
Papua;2023;62,3;26,0;2,7;4,2;915,2;67182,0;1296,1;3270,9;19537,3;8927,2;26095,5;0,4
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
